Rk,G,1985 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1985-04-19,EC1,CHI,@,MIL,1,L (-9),1,44:00:00,7,19,0.368,0,1,0,9,10,0.9,1,3,4,10,3,0,1,3,23,21.5
2,2,1985-04-21,EC1,CHI,@,MIL,2,L (-7),1,43:00:00,9,17,0.529,1,4,0.25,11,12,0.917,1,3,4,12,2,0,7,5,30,24.3
3,3,1985-04-24,EC1,CHI,,MIL,3,W (+2),1,42:00:00,12,26,0.462,0,1,0,11,16,0.688,3,5,8,7,4,1,3,4,35,28.2
4,4,1985-04-26,EC1,CHI,,MIL,4,L (-8),1,42:00:00,6,16,0.375,0,2,0,17,20,0.85,2,5,7,5,2,3,4,3,29,24.3
5,1,1986-04-17,EC1,CHI,@,BOS,1,L (-19),1,43:00:00,18,36,0.5,0,0,,13,15,0.867,0,4,4,2,2,1,5,3,49,29.3
6,2,1986-04-20,EC1,CHI,@,BOS,2,L (-4),1,53:00:00,22,41,0.537,0,0,,19,21,0.905,1,4,5,6,3,2,4,4,63,47.2
7,3,1986-04-22,EC1,CHI,,BOS,3,L (-18),1,39:00:00,8,18,0.444,1,1,1,2,3,0.667,4,6,10,9,2,1,5,6,19,15.4
8,1,1987-04-23,EC1,CHI,@,BOS,1,L (-4),1,44:00:00,12,25,0.48,0,1,0,11,11,1,0,6,6,7,4,2,2,4,35,30.8
9,2,1987-04-26,EC1,CHI,@,BOS,2,L (-9),1,45:00:00,14,29,0.483,2,3,0.667,12,14,0.857,1,3,4,4,0,4,4,3,42,28.5
10,3,1987-04-28,EC1,CHI,,BOS,3,L (-11),1,39:00:00,9,30,0.3,0,1,0,12,14,0.857,6,5,11,7,2,1,2,4,30,21.5
11,1,1988-04-28,EC1,CHI,,CLE,1,W (+11),1,44:00:00,19,35,0.543,0,0,,12,12,1,1,6,7,2,2,2,5,3,50,34.2
12,2,1988-05-01,EC1,CHI,,CLE,2,W (+5),1,44:00:00,24,45,0.533,0,0,,7,7,1,3,3,6,3,4,1,1,4,55,40.3
13,3,1988-05-03,EC1,CHI,@,CLE,3,L (-8),1,44:00:00,12,25,0.48,0,0,,14,15,0.933,2,3,5,9,2,1,4,5,38,30.2
14,4,1988-05-05,EC1,CHI,@,CLE,4,L (-6),1,42:00:00,18,25,0.72,0,0,,8,9,0.889,2,3,5,4,4,2,4,6,44,37.4
15,5,1988-05-08,EC1,CHI,,CLE,5,W (+6),1,43:00:00,12,22,0.545,0,0,,15,18,0.833,1,3,4,6,2,2,7,4,39,27.8
16,6,1988-05-10,ECS,CHI,@,DET,1,L (-11),1,40:00:00,10,22,0.455,0,1,0,9,10,0.9,5,6,11,6,0,1,5,4,29,20.8
17,7,1988-05-12,ECS,CHI,@,DET,2,W (+10),1,44:00:00,14,22,0.636,0,0,,8,10,0.8,4,7,11,1,1,1,2,5,36,28.7
18,8,1988-05-14,ECS,CHI,,DET,3,L (-22),1,38:00:00,8,20,0.4,0,0,,8,9,0.889,1,6,7,3,1,1,5,3,24,12.9
19,9,1988-05-15,ECS,CHI,,DET,4,L (-19),1,45:00:00,11,22,0.5,0,0,,1,2,0.5,2,5,7,5,6,0,3,0,23,21
20,10,1988-05-18,ECS,CHI,@,DET,5,L (-7),1,43:00:00,10,22,0.455,1,2,0.5,4,7,0.571,2,6,8,8,2,0,3,4,25,18.6
21,1,1989-04-28,EC1,CHI,@,CLE,1,W (+7),1,40:00:00,12,21,0.571,0,1,0,7,8,0.875,0,5,5,11,4,1,6,5,31,26.6
22,2,1989-04-30,EC1,CHI,@,CLE,2,L (-8),1,44:00:00,10,22,0.455,0,1,0,10,10,1,3,2,5,10,2,0,7,2,30,22.5
23,3,1989-05-03,EC1,CHI,,CLE,3,W (+7),1,39:00:00,18,34,0.529,1,1,1,7,9,0.778,2,5,7,10,5,1,5,4,44,35.6
24,4,1989-05-05,EC1,CHI,,CLE,4,L (-3),1,43:00:00,14,28,0.5,0,1,0,22,27,0.815,0,3,3,4,3,0,1,6,50,37.3
25,5,1989-05-07,EC1,CHI,@,CLE,5,W (+1),1,44:00:00,17,32,0.531,1,1,1,9,13,0.692,3,6,9,6,1,0,2,3,44,32.7
26,6,1989-05-09,ECS,CHI,@,NYK,1,W (+11),1,46:00:00,11,17,0.647,1,2,0.5,11,11,1,2,8,10,12,2,0,6,5,34,32.7
27,7,1989-05-11,ECS,CHI,@,NYK,2,L (-17),1,34:00:00,7,17,0.412,0,2,0,1,4,0.25,2,6,8,3,1,0,1,4,15,8.4
28,8,1989-05-13,ECS,CHI,,NYK,3,W (+23),1,39:00:00,14,25,0.56,1,2,0.5,11,13,0.846,2,13,15,9,6,1,3,3,40,41.4
29,9,1989-05-14,ECS,CHI,,NYK,4,W (+13),1,42:00:00,12,18,0.667,0,1,0,23,28,0.821,0,11,11,6,1,2,6,3,47,39.9
30,10,1989-05-16,ECS,CHI,@,NYK,5,L (-7),1,43:00:00,13,30,0.433,1,3,0.333,11,15,0.733,5,3,8,10,5,1,3,2,38,33.9
31,11,1989-05-19,ECS,CHI,,NYK,6,W (+2),1,45:00:00,14,22,0.636,1,3,0.333,11,12,0.917,1,4,5,10,0,4,6,3,40,34.3
32,12,1989-05-21,ECF,CHI,@,DET,1,W (+6),1,45:00:00,10,29,0.345,2,6,0.333,10,13,0.769,2,9,11,4,0,0,3,5,32,16.4
33,13,1989-05-23,ECF,CHI,@,DET,2,L (-9),1,38:00:00,9,20,0.45,0,2,0,9,11,0.818,1,3,4,4,2,1,4,5,27,16.9
34,14,1989-05-27,ECF,CHI,,DET,3,W (+2),1,45:00:00,16,26,0.615,0,3,0,14,15,0.933,3,4,7,5,5,0,2,2,46,42.8
35,15,1989-05-29,ECF,CHI,,DET,4,L (-6),1,43:00:00,5,15,0.333,1,3,0.333,12,17,0.706,0,2,2,4,1,0,1,5,23,13.9
36,16,1989-05-31,ECF,CHI,@,DET,5,L (-9),1,46:00:00,4,8,0.5,0,1,0,10,11,0.909,0,5,5,9,1,0,4,3,18,17.2
37,17,1989-06-02,ECF,CHI,,DET,6,L (-9),1,42:00:00,13,26,0.5,1,2,0.5,5,12,0.417,0,4,4,13,3,2,8,5,32,20.9
38,1,1990-04-27,EC1,CHI,,MIL,1,W (+14),1,44:00:00,15,27,0.556,0,1,0,8,11,0.727,1,7,8,7,2,1,7,4,38,25.7
39,2,1990-04-29,EC1,CHI,,MIL,2,W (+7),1,44:00:00,12,21,0.571,0,0,,12,14,0.857,1,8,9,11,5,1,5,5,36,34.8
40,3,1990-05-01,EC1,CHI,@,MIL,3,L (-7),1,46:00:00,20,35,0.571,1,5,0.2,7,9,0.778,2,7,9,5,1,2,5,4,48,33.5
41,4,1990-05-03,EC1,CHI,@,MIL,4,W (+24),1,32:00:00,8,19,0.421,0,0,,9,13,0.692,1,5,6,5,2,0,1,3,25,18.8
42,5,1990-05-07,ECS,CHI,,PHI,1,W (+11),1,43:00:00,16,30,0.533,2,4,0.5,5,6,0.833,1,4,5,6,5,2,4,3,39,31.3
43,6,1990-05-09,ECS,CHI,,PHI,2,W (+5),1,43:00:00,18,36,0.5,1,3,0.333,8,8,1,4,4,8,7,3,0,2,3,45,35.7
44,7,1990-05-11,ECS,CHI,@,PHI,3,L (-6),1,42:00:00,19,34,0.559,4,11,0.364,7,9,0.778,2,3,5,5,4,1,5,4,49,35.9
45,8,1990-05-13,ECS,CHI,@,PHI,4,W (+10),1,42:00:00,16,31,0.516,1,2,0.5,12,13,0.923,1,5,6,11,2,2,3,3,45,38.4
46,9,1990-05-16,ECS,CHI,,PHI,5,W (+18),1,42:00:00,17,26,0.654,1,3,0.333,2,4,0.5,2,7,9,8,6,1,4,2,37,35.8
47,10,1990-05-20,ECF,CHI,@,DET,1,L (-9),1,42:00:00,12,27,0.444,2,6,0.333,8,8,1,1,6,7,5,3,0,1,3,34,26.7
48,11,1990-05-22,ECF,CHI,@,DET,2,L (-9),1,45:00:00,5,16,0.313,0,2,0,10,12,0.833,1,6,7,7,4,1,3,5,20,17.1
49,12,1990-05-26,ECF,CHI,,DET,3,W (+5),1,43:00:00,17,32,0.531,2,2,1,11,13,0.846,3,7,10,4,1,0,4,3,47,33.4
50,13,1990-05-28,ECF,CHI,,DET,4,W (+7),1,43:00:00,13,26,0.5,0,1,0,16,19,0.842,0,4,4,9,4,3,4,5,42,35.4
51,14,1990-05-30,ECF,CHI,@,DET,5,L (-14),1,39:00:00,7,19,0.368,1,4,0.25,7,9,0.778,1,3,4,8,1,0,1,1,22,17.5
52,15,1990-06-01,ECF,CHI,,DET,6,W (+18),1,39:00:00,11,20,0.55,1,4,0.25,6,6,1,1,9,10,2,1,0,3,4,29,20.6
53,16,1990-06-03,ECF,CHI,@,DET,7,L (-19),1,45:00:00,13,27,0.481,0,2,0,5,5,1,2,6,8,9,1,0,4,2,31,23
54,1,1991-04-25,EC1,CHI,,NYK,1,W (+41),1,32:00:00,8,15,0.533,3,4,0.75,9,9,1,1,5,6,6,2,0,1,2,28,27.3
55,2,1991-04-28,EC1,CHI,,NYK,2,W (+10),1,42:00:00,9,16,0.563,0,0,,8,9,0.889,1,4,5,5,0,1,2,2,26,21.3
56,3,1991-04-30,EC1,CHI,@,NYK,3,W (+9),1,39:00:00,14,28,0.5,0,2,0,5,5,1,1,2,3,7,6,1,1,3,33,29.7
57,4,1991-05-04,ECS,CHI,,PHI,1,W (+13),1,31:00:00,8,15,0.533,0,1,0,13,15,0.867,0,5,5,5,3,1,1,2,29,27.8
58,5,1991-05-06,ECS,CHI,,PHI,2,W (+12),1,40:00:00,12,26,0.462,0,5,0,5,7,0.714,1,7,8,9,1,1,1,4,29,23
59,6,1991-05-10,ECS,CHI,@,PHI,3,L (-2),1,42:00:00,20,34,0.588,0,0,,6,9,0.667,0,4,4,6,1,4,2,3,46,35
60,7,1991-05-12,ECS,CHI,@,PHI,4,W (+16),1,41:00:00,11,27,0.407,2,3,0.667,1,2,0.5,0,4,4,12,4,0,1,4,25,21.1
61,8,1991-05-14,ECS,CHI,,PHI,5,W (+5),1,42:00:00,14,31,0.452,0,2,0,10,11,0.909,4,15,19,7,0,1,4,3,38,29.2
62,9,1991-05-19,ECF,CHI,,DET,1,W (+11),1,38:00:00,6,15,0.4,0,1,0,10,13,0.769,0,3,3,6,3,0,6,4,22,13.2
63,10,1991-05-21,ECF,CHI,,DET,2,W (+8),1,39:00:00,10,20,0.5,2,2,1,13,14,0.929,2,1,3,7,2,0,3,2,35,29.4
64,11,1991-05-25,ECF,CHI,@,DET,3,W (+6),1,46:00:00,11,19,0.579,0,0,,11,12,0.917,0,7,7,7,3,5,1,4,33,34.6
65,12,1991-05-27,ECF,CHI,@,DET,4,W (+21),1,37:00:00,11,17,0.647,1,2,0.5,6,9,0.667,0,8,8,8,1,2,2,2,29,27.9
66,13,1991-06-02,FIN,CHI,,LAL,1,L (-2),1,40:00:00,14,24,0.583,1,1,1,7,9,0.778,2,6,8,12,3,0,4,5,36,32.6
67,14,1991-06-05,FIN,CHI,,LAL,2,W (+21),1,36:00:00,15,18,0.833,0,1,0,3,4,0.75,1,6,7,13,2,1,4,4,33,34.7
68,15,1991-06-07,FIN,CHI,@,LAL,3,W (+8),1,52:00:00,11,28,0.393,1,1,1,6,6,1,4,5,9,9,4,2,3,5,29,24.8
69,16,1991-06-09,FIN,CHI,@,LAL,4,W (+15),1,44:00:00,11,20,0.55,0,1,0,6,6,1,1,4,5,13,0,2,1,3,28,28.6
70,17,1991-06-12,FIN,CHI,@,LAL,5,W (+7),1,48:00:00,12,23,0.522,0,0,,6,8,0.75,0,4,4,10,5,2,6,1,30,26.1
71,1,1992-04-24,EC1,CHI,,MIA,1,W (+19),1,41:00:00,21,34,0.618,0,0,,4,4,1,1,10,11,9,3,1,5,4,46,37.7
72,2,1992-04-26,EC1,CHI,,MIA,2,W (+30),1,35:00:00,12,23,0.522,0,0,,9,10,0.9,4,9,13,6,2,0,4,3,33,27.8
73,3,1992-04-29,EC1,CHI,@,MIA,3,W (+5),1,43:00:00,20,30,0.667,0,0,,16,18,0.889,1,4,5,5,4,2,2,3,56,49.8
74,4,1992-05-05,ECS,CHI,,NYK,1,L (-5),1,44:00:00,12,23,0.522,0,0,,7,8,0.875,1,5,6,3,1,3,2,4,31,23.1
75,5,1992-05-07,ECS,CHI,,NYK,2,W (+8),1,43:00:00,12,24,0.5,0,0,,3,8,0.375,1,5,6,5,3,0,2,2,27,18.9
76,6,1992-05-09,ECS,CHI,@,NYK,3,W (+8),1,44:00:00,12,24,0.5,1,3,0.333,7,10,0.7,1,8,9,3,3,1,6,2,32,20.9
77,7,1992-05-10,ECS,CHI,@,NYK,4,L (-7),1,44:00:00,12,26,0.462,0,2,0,5,6,0.833,2,2,4,4,0,0,0,1,29,19.6
78,8,1992-05-12,ECS,CHI,,NYK,5,W (+8),1,40:00:00,11,23,0.478,0,0,,15,17,0.882,2,3,5,3,1,0,4,3,37,24.7
79,9,1992-05-14,ECS,CHI,@,NYK,6,L (-14),1,45:00:00,9,25,0.36,1,5,0.2,2,4,0.5,0,4,4,8,0,1,7,0,21,6.8
80,10,1992-05-17,ECS,CHI,,NYK,7,W (+29),1,42:00:00,15,29,0.517,0,0,,12,13,0.923,3,3,6,4,2,3,5,3,42,31
81,11,1992-05-19,ECF,CHI,,CLE,1,W (+14),1,40:00:00,15,29,0.517,1,2,0.5,2,2,1,1,5,6,7,2,1,1,0,33,27.5
82,12,1992-05-21,ECF,CHI,,CLE,2,L (-26),1,35:00:00,7,22,0.318,0,0,,6,7,0.857,8,3,11,3,3,2,6,3,20,12.8
83,13,1992-05-23,ECF,CHI,@,CLE,3,W (+9),1,43:00:00,13,27,0.481,1,1,1,9,10,0.9,3,3,6,9,1,0,5,3,36,26
84,14,1992-05-25,ECF,CHI,@,CLE,4,L (-14),1,44:00:00,15,33,0.455,1,3,0.333,4,5,0.8,2,3,5,6,3,0,5,3,35,20.8
85,15,1992-05-27,ECF,CHI,,CLE,5,W (+23),1,39:00:00,13,28,0.464,0,0,,11,12,0.917,0,3,3,5,4,0,0,4,37,29
86,16,1992-05-29,ECF,CHI,@,CLE,6,W (+5),1,44:00:00,10,27,0.37,0,0,,9,9,1,1,7,8,8,2,0,3,3,29,20.3
87,17,1992-06-03,FIN,CHI,,POR,1,W (+33),1,34:00:00,16,27,0.593,6,10,0.6,1,1,1,2,1,3,11,2,0,1,0,39,36.9
88,18,1992-06-05,FIN,CHI,,POR,2,L (-11),1,50:00:00,16,32,0.5,0,4,0,7,9,0.778,1,4,5,10,1,0,5,5,39,25.1
89,19,1992-06-07,FIN,CHI,@,POR,3,W (+10),1,41:00:00,11,22,0.5,0,1,0,4,4,1,2,5,7,4,3,0,5,4,26,17.1
